ID,Region,Market,Sorghum_Yellow,Sorghum_White,Sorghum_Red,Sorghum,Rice_Imported,Month,Year,Longitude,Latitude
1,TIGRAY,"Enda Silase	",6.13,       -  ,      -    ,-,18.64,July,2013,38.27211005,14.08944251
2,TIGRAY,Endabaguna,    -  ,7.87,7.31,-,18,July,2013,38.19317204,13.97860867
3,TIGRAY,"	Adwa",6,    -  ,6,-,20,July,2013,38.88818805,14.14845458
4,TIGRAY,"	Axum",    -   ,9.91,6.87,-,18,July,2013,38.71879888,14.11130791
5,TIGRAY,"	Adigrat",    -   ,    -    ,     -   ,-,18,July,2013,39.46033457,14.26667752
6,TIGRAY,"	Wukiro",8.45,   - ,    -  ,-,18,July,2013,39.599747,13.796083
7,TIGRAY, Maichew,10.05,10.86,     -   ,-,18,July,2013,39.541533,12.78792086
8,TIGRAY,"	Mekelle",10.5,9.47,7.5,10,17,July,2013,39.47221911,13.48719005
9,TIGRAY,"	Tigray Average	",7.93,9.46,6.78,10,18.19,July,2013,NA,NA
10,AFAR,Ayisaeta,11.49,      - ,        - ,-,16,July,2013,41.43333,11.56667
11,AFAR, Dubti ,12.66,12,       - ,-,16.33,July,2013,41.082,11.73292
12,AFAR, Melka Werers,10.32,11.66,8.65,-,15.66,July,2013,40.18154914,9.340880502
13,AFAR, AwashSabat Killo ,8,10.13,7,-,15.66,July,2013,8.983333333,40.16666667
14,AFAR,Afar Average,"                                       10.38															",11.23,"   7.78															",-,15.91,July,2013,NA,NA
15,AMHRA,Chuahit ,8.75,8.57,8.73,-,18.97,July,2013,39.311961,10.643157
16,AMHRA,Gondar ,8.83,8,7,-,17.66,July,2013,37.46149667,12.59878688
17,AMHRA,Esete,-,-,-,-,17.66,July,2013,37.88657423,10.92298692
18,AMHRA,Debre-Tabor    ,-,8.16,8.6,-,17.66,July,2013,38.00833967,11.84769551
19,AMHRA,Kobo,11.4,13.38,10.38,-,18.33,July,2013,39.63127424,12.16406542
20,AMHRA,Weldiya     ,10.81,12.53,8.22,-,17.66,July,2013,39.6014117,11.82360232
21,AMHRA,Kombolcha,10.6,11.07,8.51,-,17,July,2013,39.73724188,11.07807805
22,AMHRA,Dessie,10.37,9.27,6.79,-,17,July,2013,39.63548793,11.11703902
23,AMHRA,Shewa- Robit  ,11.35,7.96,-,-,16,July,2013,39.90269733,10.00580856
24,AMHRA,Debre-Birhan,11.35,11.35,6.9,-,16,July,2013,39.52890047,9.67650294
25,AMHRA,Mota ,13.19,7.61,6.47,-,18,July,2013,37.8807432,11.07475582
26,AMHRA,Debre- markos,-,-,-,-,16,July,2013,37.72636868,10.33641293
27,AMHRA,Dembecha,-,-,-,-,16,July,2013,37.48251554,10.56669266
28,AMHRA,Bahir-Dar,-,-,-,-,17,July,2013,37.3815488,11.58416449
29,AMHRA,Sekota,9.07,8.73,8.04,-,18.33,July,2013,39.03355257,12.62479803
30,AMHRA,Amde work,7.64,9.35,7.94,-,17.49,July,2013,38.85815043,12.45920199
31,AMHRA,Danigla,-,6.58,-,-,18.29,July,2013,36.83153176,11.25223153
32,AMHRA,Chagni ,-,6.83,-,-,17,July,2013,36.50793596,10.95196565
33,AMHRA,Kemise ,12.37,8.56,-,-,16.33,July,2013,39.85696873,10.71374234
34,AMHRA,Bati ,11.17,9.07,-,-,16,July,2013,40.0181327,11.19153266
35,AMHRA,Amhara Average,10.42,9.01,7.89,-,17.16,July,2013,NA,NA
36,OROMIYA ,Ghimbi,-,6,-,-,18,July,2013,35.83291974,9.163103789
37,OROMIYA ,Dembi-Dolo,-,5,5,-,17,July,2013,34.79748694,8.530219501
38,OROMIYA ,Shambu,-,-,-,-,16,July,2013,37.09431432,9.569809208
39,OROMIYA ,Nekemte,-,6,6,-,16,July,2013,36.54851971,9.09042469
40,OROMIYA ,Bedele,-,5,4,-,16.66,July,2013,36.36017384,8.454821965
41,OROMIYA ,Metu,-,6.83,-,-,17.33,July,2013,35.58726864,8.300606827
42,OROMIYA ,Jimma,-,11.17,7,-,16,July,2013,36.84385226,7.672338798
43,OROMIYA ,Agaro,6.76,6.57,6.57,-,16,July,2013,36.58627683,7.848002731
44,OROMIYA ,Ambo,-,8.58,6.75,-,15.98,July,2013,37.8446066,8.976806527
45,OROMIYA ,Weliso,-,9.64,8.33,-,15.33,July,2013,37.97073066,8.534178897
46,OROMIYA ,Ejere,-,10.31,10.17,-,18,July,2013,39.262249,8.78288
47,OROMIYA ,Fiche,9.55,9.61,8.47,14.77,16,July,2013,38.73344116,9.791083661
48,OROMIYA ,Nazareth,9.65,10.32,6.33,-,16,July,2013,39.26667,8.55
49,OROMIYA ,Shashe-mene ,-,-,6.5,-,16,July,2013,38.6,7.2
50,OROMIYA ,Diksise,-,-,-,-,16,July,2013,39.55824,8.059179
51,OROMIYA ,Asella,-,10,-,-,16,July,2013,39.12972322,7.949589951
52,OROMIYA ,Asebe-Teferi,-,8.5,7.9,-,15,July,2013,40.86708,9.08569
53,OROMIYA ,Bedessa,-,8,7,-,15,July,2013,40.77378712,8.902011546
54,OROMIYA ,Alemaya,-,10.32,7.5,-,15,July,2013,42.0166666,9.3999984
55,OROMIYA ,Boreda,7.5,9,7.5,-,15.66,July,2013,41.278686,9.331067
56,OROMIYA ,Adaba,-,-,-,-,17.31,July,2013,39.3890878,7.004454253
57,OROMIYA ,Robe,-,-,-,-,16.33,July,2013,39.631104,7.860619
58,OROMIYA ,Hagere-Mariam,-,-,-,-,16.66,July,2013,38.23603,5.63418
59,OROMIYA ,Negele-Borena,-,7.46,5.97,-,16.33,July,2013,39.583331,5.333332
60,OROMIYA ,Oromiya Average,8.27,7.89,6.81,14.77,16.21,July,2013,NA,NA
61,SOMALIE,Shinile,-,10,8.25,-,15,July,2013,41.844013,9.686515
62,SOMALIE,Arere,-,9.32,7.66,8.16,14,July,2013,37.6,8.51667
63,SOMALIE,Jigjiga,-,8.4,8.71,-,15,July,2013,42.792342,9.367259
64,SOMALIE,Hartshek,-,6.43,-,-,14.83,July,2013,43.3499986,9.1499994
65,SOMALIE,Dolo,8.74,8.53,6.97,-,18,July,2013,42.059257,4.179211
66,SOMALIE,Moyale,-,-,-,-,15.66,July,2013,39.056,3.527
67,SOMALIE,Somali Average,8.74,8.35,7.84,8.16,15.37,July,2013,NA,NA
68,B E NISHANGUL - GUMUZ              ,Mambook,-,7,-,-,18,July,2013,NA,NA
69,B E NISHANGUL - GUMUZ              ,Mender-Sebat ,-,-,-,-,16.33,July,2013,NA,NA
70,B E NISHANGUL - GUMUZ              ,Asossa,-,6.43,5.93,-,17.33,July,2013,34.53730603,10.05784932
71,B E NISHANGUL - GUMUZ              ,Bambasi,-,5.76,5.75,-,18,July,2013,34.73046863,9.751504664
72,B E NISHANGUL - GUMUZ              ,Kemashi,-,5.37,4.54,-,17.33,July,2013,35.85916991,9.515450626
73,B E NISHANGUL - GUMUZ              ,Agelo-meti  ,-,5.48,5.59,-,-,July,2013,35.77048443,9.640776618
74,B E NISHANGUL - GUMUZ              ,BENI-GUMUZ AVERAGE,-,5.98,5.48,-,17.39,July,2013,NA,NA
75,SNNP,Welikite,8.83,-,6.83,-,16,July,2013,37.77266735,8.27732366
76,SNNP,Butajira,10.67,-,6.67,-,15.33,July,2013,38.42140499,8.173264069
77,SNNP,Hosahna,-,-,6,-,18,July,2013,37.84747123,7.538579317
78,SNNP,Shone,-,-,-,-,16.66,July,2013,37.94869425,7.134857075
79,SNNP,Doyugena,-,-,7.41,-,16,July,2013,37.78333,7.33333
80,SNNP,Alaba,-,-,4.3,-,16,July,2013,38.086143,7.311546
81,SNNP,Awasa,9.8,10.49,8,-,16,July,2013,38.474819,7.058624
82,SNNP,Hagere-Selam   ,-,-,-,-,16,July,2013,38.51921184,6.513880636
83,SNNP,Dilla,-,-,-,-,16,July,2013,38.30745962,6.410516676
84,SNNP,Yirega-chefie ,-,-,-,-,17,July,2013,38.1988827,6.16095383
85,SNNP,Welayita sodo,-,-,5.5,-,16,July,2013,37.749997,6.8999964
86,SNNP,Bodite,-,-,-,-,16,July,2013,37.89064905,7.038034865
87,SNNP,Jinka,-,8.61,6.67,-,18,July,2013,36.56441614,5.78310286
88,SNNP,Dimeka,-,6.19,7.5,-,20,July,2013,36.45041198,4.892522922
89,SNNP,Masha,-,9,-,-,18,July,2013,35.47956686,7.741652627
90,SNNP,Tepi,-,6,5.66,-,17.33,July,2013,35.36770327,7.320015599
91,SNNP,Boniga,-,6.5,5,-,18,July,2013,36.24008346,7.388535704
92,SNNP,Chana,-,6,6,-,18,July,2013,36.11775846,6.226550231
93,SNNP,Arbam-minch,12,7,5,-,16.33,July,2013,37.5527474,6.024547891
94,SNNP,Sawla,5.03,-,-,-,16,July,2013,36.87437474,6.300226567
95,SNNP,Shewa-Bench,-,4.16,5,-,18,July,2013,35.166666,6.916663
96,SNNP,Mizan-Teferi ,-,5.83,6,-,18,July,2013,35.41120174,6.883477024
97,SNNP,Deri,-,-,8.79,-,-,July,2013,36.28577951,7.384839762
98,SNNP,Amaro-Kele ,-,-,7.12,-,16.64,July,2013,38.03333333,6.083333333
99,SNNP,Soyama,4.71,5.79,4.58,-,18,July,2013,37.88333333,5.7
100,SNNP,Karate,-,6.3,-,-,20,July,2013,37.48333333,5.25
101,SNNP,Gidola,-,6.3,5.59,-,18,July,2013,37.34772952,5.647078098
102,SNNP,Tercha,-,4.4,4.07,-,-,July,2013,37.175334,7.146295
103,SNNP,Besite-chere,-,-,4.97,6.87,17,July,2013,NA,NA
104,SNNP,Lasoka,-,-,-,-,20,July,2013,36.60777815,6.30774507
105,SNNP,Amaya,-,5.68,4.94,-,17.66,July,2013,36.68000727,7.105541206
106,SNNP,SNNPR AVERAGE,7.8,6.31,5.86,6.87,17.19,July,2013,NA,NA
107,GAMBELLA,Gambella,-,7,6,-,19.31,July,2013,34.58547076,8.249396585
108,GAMBELLA,Shebo-Kire,-,-,5.21,-,19.31,July,2013,NA,NA
109,GAMBELLA,Meti,-,5.59,4.59,-,-,July,2013,35.31666667,7.233333333
110,GAMBELLA,GAMBELLA-AVERAGE,-,6.26,5.34,-,19.31,July,2013,NA,NA
111,GAMBELLA,HARARI TOWN,9.25,10.91,7.91,-,16,July,2013,42.11815,9.31387
112,DIREDAWA,Dire Dawa,12,11.32,8,-,15,July,2013,41.86611,9.59306
